"","SettlementPoint","month(Date)","year(Date)","AveragePrice"
"1","HB_BUSAVG",1,2016,19.2093010752688
"2","HB_BUSAVG",1,2017,23.2527822580645
"3","HB_BUSAVG",1,2018,37.8696774193548
"4","HB_BUSAVG",1,2019,24.5925672043011
"5","HB_BUSAVG",2,2016,15.2882471264368
"6","HB_BUSAVG",2,2017,20.1178273809524
"7","HB_BUSAVG",2,2018,21.8543154761905
"8","HB_BUSAVG",2,2019,21.186369047619
"9","HB_BUSAVG",3,2016,16.7556258411844
"10","HB_BUSAVG",3,2017,22.5698923283984
"11","HB_BUSAVG",3,2018,22.5619784656797
"12","HB_BUSAVG",3,2019,27.5657200538358
"13","HB_BUSAVG",4,2016,18.2893472222222
"14","HB_BUSAVG",4,2017,23.7050833333333
"15","HB_BUSAVG",4,2018,23.1429583333333
"16","HB_BUSAVG",4,2019,22.6131805555556
"17","HB_BUSAVG",5,2016,18.1595833333333
"18","HB_BUSAVG",5,2017,25.0873521505376
"19","HB_BUSAVG",5,2018,34.0052419354839
"20","HB_BUSAVG",5,2019,23.9599327956989
"21","HB_BUSAVG",6,2016,23.9098194444444
"22","HB_BUSAVG",6,2017,27.6691527777778
"23","HB_BUSAVG",6,2018,29.966125
"24","HB_BUSAVG",6,2019,25.0855416666667
"25","HB_BUSAVG",7,2016,27.1874731182796
"26","HB_BUSAVG",7,2017,31.4542741935484
"27","HB_BUSAVG",7,2018,78.8594489247312
"28","HB_BUSAVG",7,2019,29.729623655914
"29","HB_BUSAVG",8,2016,30.5671370967742
"30","HB_BUSAVG",8,2017,27.5070161290323
"31","HB_BUSAVG",8,2018,31.6615591397849
"32","HB_BUSAVG",8,2019,126.384086021505
"33","HB_BUSAVG",9,2016,26.86175
"34","HB_BUSAVG",9,2017,24.1841666666667
"35","HB_BUSAVG",9,2018,27.1754444444444
"36","HB_BUSAVG",9,2019,79.615625
"37","HB_BUSAVG",10,2016,25.2048387096774
"38","HB_BUSAVG",10,2017,23.5632795698925
"39","HB_BUSAVG",10,2018,29.9578225806452
"40","HB_BUSAVG",10,2019,28.2470564516129
"41","HB_BUSAVG",11,2016,19.2449027777778
"42","HB_BUSAVG",11,2017,22.6774583333333
"43","HB_BUSAVG",11,2018,30.6445
"44","HB_BUSAVG",11,2019,23.468375
"45","HB_BUSAVG",12,2016,25.3183064516129
"46","HB_BUSAVG",12,2017,21.1879569892473
"47","HB_BUSAVG",12,2018,30.268185483871
"48","HB_BUSAVG",12,2019,18.7150806451613
"49","HB_HOUSTON",1,2016,19.5657258064516
"50","HB_HOUSTON",1,2017,24.7818548387097
"51","HB_HOUSTON",1,2018,37.9447849462366
"52","HB_HOUSTON",1,2019,25.4260349462366
"53","HB_HOUSTON",2,2016,15.4645402298851
"54","HB_HOUSTON",2,2017,23.2657142857143
"55","HB_HOUSTON",2,2018,22.1641071428571
"56","HB_HOUSTON",2,2019,21.5078125
"57","HB_HOUSTON",3,2016,17.1249528936743
"58","HB_HOUSTON",3,2017,28.2132974427995
"59","HB_HOUSTON",3,2018,23.7825437415882
"60","HB_HOUSTON",3,2019,27.8320323014805
"61","HB_HOUSTON",4,2016,18.9409583333333
"62","HB_HOUSTON",4,2017,32.2957361111111
"63","HB_HOUSTON",4,2018,24.6526944444444
"64","HB_HOUSTON",4,2019,23.8706527777778
"65","HB_HOUSTON",5,2016,19.1740860215054
"66","HB_HOUSTON",5,2017,31.5331720430108
"67","HB_HOUSTON",5,2018,34.1475537634409
"68","HB_HOUSTON",5,2019,24.7942741935484
"69","HB_HOUSTON",6,2016,26.2557361111111
"70","HB_HOUSTON",6,2017,33.1683472222222
"71","HB_HOUSTON",6,2018,30.6284861111111
"72","HB_HOUSTON",6,2019,26.8976805555556
"73","HB_HOUSTON",7,2016,29.5389247311828
"74","HB_HOUSTON",7,2017,34.3758333333333
"75","HB_HOUSTON",7,2018,79.0340456989247
"76","HB_HOUSTON",7,2019,29.9110080645161
"77","HB_HOUSTON",8,2016,32.9725403225806
"78","HB_HOUSTON",8,2017,29.4017204301075
"79","HB_HOUSTON",8,2018,31.944247311828
"80","HB_HOUSTON",8,2019,126.625336021505
"81","HB_HOUSTON",9,2016,28.7424166666667
"82","HB_HOUSTON",9,2017,26.5429444444444
"83","HB_HOUSTON",9,2018,27.5813611111111
"84","HB_HOUSTON",9,2019,80.5876527777778
"85","HB_HOUSTON",10,2016,28.2495564516129
"86","HB_HOUSTON",10,2017,30.1412365591398
"87","HB_HOUSTON",10,2018,30.981935483871
"88","HB_HOUSTON",10,2019,30.3936021505376
"89","HB_HOUSTON",11,2016,20.3659305555556
"90","HB_HOUSTON",11,2017,26.0910555555556
"91","HB_HOUSTON",11,2018,31.3192361111111
"92","HB_HOUSTON",11,2019,24.0215
"93","HB_HOUSTON",12,2016,25.7276612903226
"94","HB_HOUSTON",12,2017,21.5490053763441
"95","HB_HOUSTON",12,2018,30.3335483870968
"96","HB_HOUSTON",12,2019,18.6725
"97","HB_HUBAVG",1,2016,19.2586962365591
"98","HB_HUBAVG",1,2017,23.3255510752688
"99","HB_HUBAVG",1,2018,37.7730376344086
"100","HB_HUBAVG",1,2019,24.6834005376344
"101","HB_HUBAVG",2,2016,15.2692528735632
"102","HB_HUBAVG",2,2017,20.3521279761905
"103","HB_HUBAVG",2,2018,21.8300595238095
"104","HB_HUBAVG",2,2019,21.2506398809524
"105","HB_HUBAVG",3,2016,16.6543472409152
"106","HB_HUBAVG",3,2017,23.2332301480485
"107","HB_HUBAVG",3,2018,22.4034320323015
"108","HB_HUBAVG",3,2019,27.1890309555855
"109","HB_HUBAVG",4,2016,18.1668611111111
"110","HB_HUBAVG",4,2017,24.8304861111111
"111","HB_HUBAVG",4,2018,22.4503055555556
"112","HB_HUBAVG",4,2019,22.2211666666667
"113","HB_HUBAVG",5,2016,18.247002688172
"114","HB_HUBAVG",5,2017,25.9050268817204
"115","HB_HUBAVG",5,2018,32.8348521505376
"116","HB_HUBAVG",5,2019,23.8837634408602
"117","HB_HUBAVG",6,2016,24.2978472222222
"118","HB_HUBAVG",6,2017,28.5138472222222
"119","HB_HUBAVG",6,2018,29.7818611111111
"120","HB_HUBAVG",6,2019,25.1715416666667
"121","HB_HUBAVG",7,2016,27.4592069892473
"122","HB_HUBAVG",7,2017,31.8644086021505
"123","HB_HUBAVG",7,2018,78.8323252688172
"124","HB_HUBAVG",7,2019,29.6962365591398
"125","HB_HUBAVG",8,2016,30.9485349462366
"126","HB_HUBAVG",8,2017,27.8386155913979
"127","HB_HUBAVG",8,2018,31.6945833333333
"128","HB_HUBAVG",8,2019,126.349838709677
"129","HB_HUBAVG",9,2016,27.1881388888889
"130","HB_HUBAVG",9,2017,24.5196944444444
"131","HB_HUBAVG",9,2018,27.0530277777778
"132","HB_HUBAVG",9,2019,79.4591944444444
"133","HB_HUBAVG",10,2016,25.7690591397849
"134","HB_HUBAVG",10,2017,24.7014516129032
"135","HB_HUBAVG",10,2018,29.8891129032258
"136","HB_HUBAVG",10,2019,28.1317607526882
"137","HB_HUBAVG",11,2016,19.4893055555556
"138","HB_HUBAVG",11,2017,23.1671388888889
"139","HB_HUBAVG",11,2018,30.2772083333333
"140","HB_HUBAVG",11,2019,23.2572361111111
"141","HB_HUBAVG",12,2016,25.3625940860215
"142","HB_HUBAVG",12,2017,21.2098521505376
"143","HB_HUBAVG",12,2018,30.1919892473118
"144","HB_HUBAVG",12,2019,18.623373655914
"145","HB_NORTH",1,2016,19.1333064516129
"146","HB_NORTH",1,2017,22.9918548387097
"147","HB_NORTH",1,2018,37.5859005376344
"148","HB_NORTH",1,2019,24.3326344086021
"149","HB_NORTH",2,2016,15.292658045977
"150","HB_NORTH",2,2017,19.4481994047619
"151","HB_NORTH",2,2018,21.7670238095238
"152","HB_NORTH",2,2019,20.8649553571429
"153","HB_NORTH",3,2016,16.8593674293405
"154","HB_NORTH",3,2017,21.2277792732167
"155","HB_NORTH",3,2018,22.6080080753701
"156","HB_NORTH",3,2019,28.1037146702557
"157","HB_NORTH",4,2016,18.3506666666667
"158","HB_NORTH",4,2017,21.4105555555556
"159","HB_NORTH",4,2018,23.5229166666667
"160","HB_NORTH",4,2019,22.9974027777778
"161","HB_NORTH",5,2016,17.9056317204301
"162","HB_NORTH",5,2017,23.4199193548387
"163","HB_NORTH",5,2018,35.3061424731183
"164","HB_NORTH",5,2019,23.9788844086022
"165","HB_NORTH",6,2016,23.1580555555556
"166","HB_NORTH",6,2017,25.8905694444444
"167","HB_NORTH",6,2018,30.2118888888889
"168","HB_NORTH",6,2019,25.1758194444444
"169","HB_NORTH",7,2016,26.8007930107527
"170","HB_NORTH",7,2017,30.654314516129
"171","HB_NORTH",7,2018,78.9684543010753
"172","HB_NORTH",7,2019,29.7812903225806
"173","HB_NORTH",8,2016,29.8283870967742
"174","HB_NORTH",8,2017,26.8327284946237
"175","HB_NORTH",8,2018,31.6030510752688
"176","HB_NORTH",8,2019,126.52185483871
"177","HB_NORTH",9,2016,26.2491805555556
"178","HB_NORTH",9,2017,23.3461111111111
"179","HB_NORTH",9,2018,27.2996388888889
"180","HB_NORTH",9,2019,79.9195833333333
"181","HB_NORTH",10,2016,24.0052553763441
"182","HB_NORTH",10,2017,21.4059005376344
"183","HB_NORTH",10,2018,30.0341666666667
"184","HB_NORTH",10,2019,27.9959677419355
"185","HB_NORTH",11,2016,18.6648888888889
"186","HB_NORTH",11,2017,21.5962083333333
"187","HB_NORTH",11,2018,31.2348888888889
"188","HB_NORTH",11,2019,23.6286111111111
"189","HB_NORTH",12,2016,25.1490456989247
"190","HB_NORTH",12,2017,20.952997311828
"191","HB_NORTH",12,2018,30.3982661290323
"192","HB_NORTH",12,2019,18.7319892473118
"193","HB_SOUTH",1,2016,19.2100537634409
"194","HB_SOUTH",1,2017,23.624811827957
"195","HB_SOUTH",1,2018,39.4981451612903
"196","HB_SOUTH",1,2019,25.086061827957
"197","HB_SOUTH",2,2016,15.333591954023
"198","HB_SOUTH",2,2017,21.0793601190476
"199","HB_SOUTH",2,2018,22.3063988095238
"200","HB_SOUTH",2,2019,22.1256398809524
"201","HB_SOUTH",3,2016,16.7631090174966
"202","HB_SOUTH",3,2017,23.6807537012113
"203","HB_SOUTH",3,2018,22.8884522207268
"204","HB_SOUTH",3,2019,27.1355585464334
"205","HB_SOUTH",4,2016,18.5129027777778
"206","HB_SOUTH",4,2017,25.6094027777778
"207","HB_SOUTH",4,2018,24.4718888888889
"208","HB_SOUTH",4,2019,22.4633333333333
"209","HB_SOUTH",5,2016,18.5704569892473
"210","HB_SOUTH",5,2017,26.4950134408602
"211","HB_SOUTH",5,2018,34.2260752688172
"212","HB_SOUTH",5,2019,24.0599462365591
"213","HB_SOUTH",6,2016,24.645375
"214","HB_SOUTH",6,2017,29.6546944444444
"215","HB_SOUTH",6,2018,30.0686388888889
"216","HB_SOUTH",6,2019,23.9043611111111
"217","HB_SOUTH",7,2016,26.9602553763441
"218","HB_SOUTH",7,2017,32.1294623655914
"219","HB_SOUTH",7,2018,78.8473790322581
"220","HB_SOUTH",7,2019,29.6375
"221","HB_SOUTH",8,2016,31.2079704301075
"222","HB_SOUTH",8,2017,28.3150268817204
"223","HB_SOUTH",8,2018,31.6675268817204
"224","HB_SOUTH",8,2019,125.936545698925
"225","HB_SOUTH",9,2016,27.4055694444444
"226","HB_SOUTH",9,2017,25.5150972222222
"227","HB_SOUTH",9,2018,27.1898055555556
"228","HB_SOUTH",9,2019,78.9004722222222
"229","HB_SOUTH",10,2016,26.6896639784946
"230","HB_SOUTH",10,2017,25.5636559139785
"231","HB_SOUTH",10,2018,29.7725134408602
"232","HB_SOUTH",10,2019,29.4684005376344
"233","HB_SOUTH",11,2016,20.1488333333333
"234","HB_SOUTH",11,2017,23.9771805555556
"235","HB_SOUTH",11,2018,29.8371805555556
"236","HB_SOUTH",11,2019,23.7185555555556
"237","HB_SOUTH",12,2016,25.7089919354839
"238","HB_SOUTH",12,2017,21.9979166666667
"239","HB_SOUTH",12,2018,30.0893010752688
"240","HB_SOUTH",12,2019,18.9525134408602
"241","HB_WEST",1,2016,19.1265591397849
"242","HB_WEST",1,2017,21.9017204301075
"243","HB_WEST",1,2018,36.0516397849462
"244","HB_WEST",1,2019,23.8815456989247
"245","HB_WEST",2,2016,14.9886637931034
"246","HB_WEST",2,2017,17.616681547619
"247","HB_WEST",2,2018,21.0876041666667
"248","HB_WEST",2,2019,20.4911607142857
"249","HB_WEST",3,2016,15.871668909825
"250","HB_WEST",3,2017,19.8135935397039
"251","HB_WEST",3,2018,20.3336204576043
"252","HB_WEST",3,2019,25.6696769851952
"253","HB_WEST",4,2016,16.86275
"254","HB_WEST",4,2017,19.9960972222222
"255","HB_WEST",4,2018,17.156625
"256","HB_WEST",4,2019,19.551875
"257","HB_WEST",5,2016,17.3376747311828
"258","HB_WEST",5,2017,22.1666129032258
"259","HB_WEST",5,2018,27.6920161290323
"260","HB_WEST",5,2019,22.7026612903226
"261","HB_WEST",6,2016,23.1419305555556
"262","HB_WEST",6,2017,25.3316944444444
"263","HB_WEST",6,2018,28.2770277777778
"264","HB_WEST",6,2019,24.7085555555556
"265","HB_WEST",7,2016,26.543561827957
"266","HB_WEST",7,2017,30.2936424731183
"267","HB_WEST",7,2018,78.5175537634409
"268","HB_WEST",7,2019,29.4554704301075
"269","HB_WEST",8,2016,29.7867338709677
"270","HB_WEST",8,2017,26.8170430107527
"271","HB_WEST",8,2018,31.5601209677419
"272","HB_WEST",8,2019,126.315282258065
"273","HB_WEST",9,2016,26.35425
"274","HB_WEST",9,2017,22.6788194444444
"275","HB_WEST",9,2018,26.1395972222222
"276","HB_WEST",9,2019,78.42925
"277","HB_WEST",10,2016,24.113938172043
"278","HB_WEST",10,2017,21.6938306451613
"279","HB_WEST",10,2018,28.7613306451613
"280","HB_WEST",10,2019,24.6681317204301
"281","HB_WEST",11,2016,18.7784166666667
"282","HB_WEST",11,2017,21.0017916666667
"283","HB_WEST",11,2018,28.71525
"284","HB_WEST",11,2019,21.6602638888889
"285","HB_WEST",12,2016,24.8626612903226
"286","HB_WEST",12,2017,20.3380376344086
"287","HB_WEST",12,2018,29.9440053763441
"288","HB_WEST",12,2019,18.1364247311828
"289","LZ_AEN",1,2016,19.3246639784946
"290","LZ_AEN",1,2017,23.4044758064516
"291","LZ_AEN",1,2018,38.8379838709677
"292","LZ_AEN",1,2019,25.1079569892473
"293","LZ_AEN",2,2016,15.4482902298851
"294","LZ_AEN",2,2017,20.6053273809524
"295","LZ_AEN",2,2018,21.9138839285714
"296","LZ_AEN",2,2019,21.5138095238095
"297","LZ_AEN",3,2016,16.8550740242261
"298","LZ_AEN",3,2017,22.9970121130552
"299","LZ_AEN",3,2018,22.2028263795424
"300","LZ_AEN",3,2019,27.7421803499327
"301","LZ_AEN",4,2016,18.2560694444444
"302","LZ_AEN",4,2017,24.1180833333333
"303","LZ_AEN",4,2018,22.1884861111111
"304","LZ_AEN",4,2019,23.2703472222222
"305","LZ_AEN",5,2016,18.1249059139785
"306","LZ_AEN",5,2017,25.2938440860215
"307","LZ_AEN",5,2018,33.1661693548387
"308","LZ_AEN",5,2019,24.6762365591398
"309","LZ_AEN",6,2016,24.2375138888889
"310","LZ_AEN",6,2017,27.9166388888889
"311","LZ_AEN",6,2018,30.286125
"312","LZ_AEN",6,2019,24.4167916666667
"313","LZ_AEN",7,2016,27.9761021505376
"314","LZ_AEN",7,2017,31.401438172043
"315","LZ_AEN",7,2018,78.9513709677419
"316","LZ_AEN",7,2019,29.7090860215054
"317","LZ_AEN",8,2016,30.6995161290323
"318","LZ_AEN",8,2017,27.4656182795699
"319","LZ_AEN",8,2018,31.7321370967742
"320","LZ_AEN",8,2019,126.526922043011
"321","LZ_AEN",9,2016,26.7108611111111
"322","LZ_AEN",9,2017,24.6288055555556
"323","LZ_AEN",9,2018,27.1673055555556
"324","LZ_AEN",9,2019,80.1695972222222
"325","LZ_AEN",10,2016,25.6229032258064
"326","LZ_AEN",10,2017,24.0199059139785
"327","LZ_AEN",10,2018,30.31
"328","LZ_AEN",10,2019,29.2804435483871
"329","LZ_AEN",11,2016,19.6400416666667
"330","LZ_AEN",11,2017,23.0194444444444
"331","LZ_AEN",11,2018,30.4680833333333
"332","LZ_AEN",11,2019,24.4080138888889
"333","LZ_AEN",12,2016,25.8701747311828
"334","LZ_AEN",12,2017,21.0629301075269
"335","LZ_AEN",12,2018,30.0947580645161
"336","LZ_AEN",12,2019,19.0517069892473
"337","LZ_CPS",1,2016,19.3538440860215
"338","LZ_CPS",1,2017,23.7725672043011
"339","LZ_CPS",1,2018,41.312876344086
"340","LZ_CPS",1,2019,26.7983333333333
